team;qty_fouls;qty_cards;percent
Stoke City;3513;580;0.1651
Manchester City;3357;525;0.1564
Aston Villa;3343;572;0.1711
Manchester United;3289;500;0.152
Sunderland;3255;592;0.1819
Liverpool;3249;486;0.1496
Tottenham Hotspur;3217;499;0.1551
Everton;3191;463;0.1451
Chelsea;3185;511;0.1604
Arsenal;3067;482;0.1572
