team;qty_fouls;qty_cards;percent
RCD Espanyol;2113;993;0.4699
Getafe CF;1888;972;0.5148
Valencia CF;3019;947;0.3137
Sevilla FC;2707;904;0.3339
Málaga CF;1901;871;0.4582
Atlético Madrid;2601;869;0.3341
Athletic Club de Bilbao;2205;841;0.3814
Chievo Verona;2003;798;0.3984
Genoa;2217;796;0.359
Lazio;2608;758;0.2906
