year;month;end_of_week;avg_goals_per_match_home;home_avg_growth %;avg_goals_per_match_away;away_avg_growth %
2014;05;2014-05-04;1.55;-0.1193;1.08;0.0286
2014;04;2014-04-27;1.76;0.1579;1.05;-0.2953
2014;04;2014-04-20;1.52;0.0201;1.49;0.2521
2014;04;2014-04-13;1.49;-0.0629;1.19;-0.0325
2014;04;2014-04-06;1.59;0.0743;1.23;0.0603
2014;03;2014-03-30;1.48;-0.0327;1.16;-0.0085
2014;03;2014-03-23;1.53;0.0132;1.17;-0.093
2014;03;2014-03-16;1.51;0.0709;1.29;0.1622
2014;03;2014-03-09;1.41;-0.1132;1.11;0.11
2014;03;2014-03-02;1.59;0.06;1;-0.1736
2014;02;2014-02-23;1.5;0;1.21;0.0804
2014;02;2014-02-16;1.5;-0.0909;1.12;-0.0667
2014;02;2014-02-09;1.65;-0.0407;1.2;0.1765
2014;02;2014-02-02;1.72;0.1467;1.02;-0.2031
2014;01;2014-01-26;1.5;-0.0741;1.28;0.1532
2014;01;2014-01-19;1.62;0.0588;1.11;0.0278
2014;01;2014-01-12;1.53;0.0851;1.08;0.2273
2014;01;2014-01-05;1.41;0.0144;0.88;-0.3071
2013;12;2013-12-29;1.39;-0.1677;1.27;-0.0155
2013;12;2013-12-22;1.67;0.0637;1.29;0.0574
2013;12;2013-12-15;1.57;0.0261;1.22;-0.0827
2013;12;2013-12-08;1.53;-0.1547;1.33;0.2667
2013;12;2013-12-01;1.81;0.1313;1.05;-0.1797
2013;11;2013-11-24;1.6;0.0667;1.28;0.28
2013;11;2013-11-17;1.5;-0.0683;1;-0.2063
2013;11;2013-11-10;1.61;0.0733;1.26;0.05
2013;11;2013-11-03;1.5;0;1.2;0.0909
2013;10;2013-10-27;1.5;-0.2308;1.1;-0.127
2013;10;2013-10-20;1.95;4.9091;1.26;0.26
2013;10;2013-10-13;0.33;-0.8081;1;-0.1379
2013;10;2013-10-06;1.72;0.1242;1.16;-0.0645
2013;09;2013-09-29;1.53;0.0699;1.24;-0.0159
2013;09;2013-09-22;1.43;-0.1118;1.26;-0.0156
2013;09;2013-09-15;1.61;0.61;1.28;1.56
2013;09;2013-09-08;1;-0.3103;0.5;-0.5413
2013;09;2013-09-01;1.45;-0.0523;1.09;0.0792
2013;08;2013-08-25;1.53;-0.1156;1.01;-0.192
2013;08;2013-08-18;1.73;0.0485;1.25;-0.0385
2013;08;2013-08-11;1.65;0.1;1.3;0.3
2013;08;2013-08-04;1.5;-0.1525;1;-0.3827
2013;07;2013-07-28;1.77;0.2465;1.62;0.218
2013;07;2013-07-21;1.42;-0.29;1.33;0.33
2013;07;2013-07-14;2;0.1561;1;-0.1597
2013;06;2013-06-02;1.73;0.3206;1.19;0.0721
2013;05;2013-05-26;1.31;-0.1603;1.11;-0.2885
2013;05;2013-05-19;1.56;-0.0127;1.56;0.2893
2013;05;2013-05-12;1.58;-0.0867;1.21;0.198
2013;05;2013-05-05;1.73;0.1234;1.01;-0.1368
2013;04;2013-04-28;1.54;0.0845;1.17;0.0446
2013;04;2013-04-21;1.42;-0.0955;1.12;-0.2727
2013;04;2013-04-14;1.57;-0.0126;1.54;0.2419
2013;04;2013-04-07;1.59;-0.0364;1.24;-0.1507
2013;03;2013-03-31;1.65;-0.175;1.46;0
2013;03;2013-03-24;2;0.2579;0;-1
2013;03;2013-03-17;1.59;0.1778;1.11;0.0882
2013;03;2013-03-10;1.35;0.0887;1.02;0
2013;03;2013-03-03;1.24;-0.2749;1.02;-0.0467
2013;02;2013-02-24;1.71;0.2482;1.07;0.019
2013;02;2013-02-17;1.37;-0.1218;1.05;-0.0187
