preferred_foot;qty_players;percentage;finishing;free_kick_accuracy;penalties;dribbling;short_passing;long_passing;long_shots;interceptions;marking;ball_control;heading_accuracy;acceleration
left;2546;0.2446;48.05;52.33;53.55;60.82;63.6;58.99;54.21;53.62;51.06;64.29;57.03;66.78
right;7864;0.7554;48.37;47.03;53.06;57.17;61.48;55.6;51.59;49.71;45.86;61.67;56.76;64.22
